ligand_id,source_file,casf_explicit_isomeric_smiles,casf_explicit_nonisomeric_smiles,casf_heavy_isomeric_smiles,casf_heavy_nonisomeric_smiles,chembl3d_group,chembl3d_mol_id,chembl3d_isomeric_smiles,conformer_count
1c5n_1c5n_conf0,1c5n_1c5n_conf0.mol2,[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],NC(=[NH2+])c1cc2c(I)cccc2s1,NC(=[NH2+])c1cc2c(I)cccc2s1,021,CHEMBL60088_0,NC(=[NH2+])c1cc2c(I)cccc2s1,1
1c5o_1c5o_conf0,1c5o_1c5o_conf0.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1,018,CHEMBL20936_0,NC(=[NH2+])c1ccccc1,1
1c5p_1c5p_conf0,1c5p_1c5p_conf0.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1,018,CHEMBL20936_0,NC(=[NH2+])c1ccccc1,1
1c5q_1c5q_conf0,1c5q_1c5q_conf0.mol2,[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],NC(=[NH2+])c1cc2c(I)cccc2s1,NC(=[NH2+])c1cc2c(I)cccc2s1,021,CHEMBL60088_0,NC(=[NH2+])c1cc2c(I)cccc2s1,1
1c5x_1c5x_conf0,1c5x_1c5x_conf0.mol2,[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],NC(=[NH2+])c1cc2c(I)cccc2s1,NC(=[NH2+])c1cc2c(I)cccc2s1,021,CHEMBL60088_0,NC(=[NH2+])c1cc2c(I)cccc2s1,1
1c83_1c83_conf0,1c83_1c83_conf0.mol2,[H]c1c(C(=O)[O-])c(N([H])C(=O)C(=O)[O-])c([H])c2c1c([H])c([H])n2[H],[H]c1c(C(=O)[O-])c(N([H])C(=O)C(=O)[O-])c([H])c2c1c([H])c([H])n2[H],O=C([O-])C(=O)Nc1cc2[nH]ccc2cc1C(=O)[O-],O=C([O-])C(=O)Nc1cc2[nH]ccc2cc1C(=O)[O-],024,CHEMBL342478_0,O=C([O-])C(=O)Nc1cc2[nH]ccc2cc1C(=O)[O-],2
1c84_1c84_conf0,1c84_1c84_conf0.mol2,[H]c1c([H])c([H])c2c([H])c(N([H])C(=O)C(=O)[O-])c(C(=O)[O-])c([H])c2c1[H],[H]c1c([H])c([H])c2c([H])c(N([H])C(=O)C(=O)[O-])c(C(=O)[O-])c([H])c2c1[H],O=C([O-])C(=O)Nc1cc2ccccc2cc1C(=O)[O-],O=C([O-])C(=O)Nc1cc2ccccc2cc1C(=O)[O-],026,CHEMBL383570_0,O=C([O-])C(=O)Nc1cc2ccccc2cc1C(=O)[O-],2
1c86_1c86_conf0,1c86_1c86_conf0.mol2,[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])OC2([H])[H],[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])OC2([H])[H],O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,025,CHEMBL138806_0,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,6
1c87_1c87_conf0,1c87_1c87_conf0.mol2,[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])OC2([H])[H],[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])OC2([H])[H],O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,025,CHEMBL138806_0,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2,6
1c88_1c88_conf0,1c88_1c88_conf0.mol2,[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H],[H]N(C(=O)C(=O)[O-])c1sc2c(c1C(=O)[O-])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H],O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CC[NH2+]C2,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CC[NH2+]C2,027,CHEMBL139393_0,O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CC[NH2+]C2,6
1cbx_1cbx_conf0,1cbx_1cbx_conf0.mol2,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)[O-])C([H])([H])C(=O)[O-])c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C([H])(C(=O)[O-])C([H])([H])C(=O)[O-])c([H])c1[H],O=C([O-])C[C@@H](Cc1ccccc1)C(=O)[O-],O=C([O-])CC(Cc1ccccc1)C(=O)[O-],025,CHEMBL151284_0,O=C([O-])C[C@@H](Cc1ccccc1)C(=O)[O-],59
1ceb_1ceb_conf0,1ceb_1ceb_conf0.mol2,[H]C1([H])C([H])([H])[C@]([H])(C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)[O-],[H]C1([H])C([H])([H])C([H])(C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C1([H])C(=O)[O-],[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,[NH3+]CC1CCC(C(=O)[O-])CC1,026,CHEMBL877_0,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,10
1ciz_1ciz_conf0,1ciz_1ciz_conf0.mol2,[H]c1c([H])c([H])c(C2([H])C([H])([H])C([H])([H])N(c3c([H])c([H])c(S(=O)(=O)N([H])[C@@]([H])(C(=O)[O-])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([H])c([H])c45)c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C2([H])C([H])([H])C([H])([H])N(c3c([H])c([H])c(S(=O)(=O)N([H])C([H])(C(=O)[O-])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([H])c([H])c45)c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],O=C([O-])[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1,O=C([O-])C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1,064,CHEMBL91649_0,O=C([O-])[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1,132
1cnw_1cnw_conf0,1cnw_1cnw_conf0.mol2,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[N+]([H])([H])[H],[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[N+]([H])([H])[H],NS(=O)(=O)c1ccc(C(=O)NCCOCCOCCNC(=O)C[NH3+])cc1,NS(=O)(=O)c1ccc(C(=O)NCCOCCOCCNC(=O)C[NH3+])cc1,051,CHEMBL1160416_0,NS(=O)(=O)c1ccc(C(=O)NCCOCCOCCNC(=O)C[NH3+])cc1,114
1d3d_1d3d_conf0,1d3d_1d3d_conf0.mol2,[H]Oc1c([H])c([H])c2c(C([H])([H])c3c([H])c([H])c(C([H])([H])[N+]4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(Br)c3[H])c(-c3c([H])c([H])c(OC([H])([H])C([H])([H])[N+]4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c3[H])sc2c1[H],[H]Oc1c([H])c([H])c2c(C([H])([H])c3c([H])c([H])c(C([H])([H])[N+]4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(Br)c3[H])c(-c3c([H])c([H])c(OC([H])([H])C([H])([H])[N+]4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c3[H])sc2c1[H],Oc1ccc2c(Cc3ccc(C[NH+]4CCCC4)c(Br)c3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1,Oc1ccc2c(Cc3ccc(C[NH+]4CCCC4)c(Br)c3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1,075,CHEMBL275206_0,Oc1ccc2c(Cc3ccc(C[NH+]4CCCC4)c(Br)c3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1,187
1d4p_1d4p_conf0,1d4p_1d4p_conf0.mol2,[H]c1c([H])c([H])c(C([H])([H])C2([H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c4c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c4n3[H])C([H])([H])C2([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C2([H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c4c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c4n3[H])C([H])([H])C2([H])[H])c([H])c1[H],NC(=[NH2+])c1ccc2[nH]c(C(=O)N3CCC(Cc4ccccc4)CC3)cc2c1,NC(=[NH2+])c1ccc2[nH]c(C(=O)N3CCC(Cc4ccccc4)CC3)cc2c1,052,CHEMBL407425_0,NC(=[NH2+])c1ccc2[nH]c(C(=O)N3CCC(Cc4ccccc4)CC3)cc2c1,200
1drj_1drj_conf0,1drj_1drj_conf0.mol2,[H]O[C@]1([H])OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],[H]OC1([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H],O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O,OC1COC(O)C(O)C1O,020,CHEMBL14343_0,O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O,1189
1drk_1drk_conf0,1drk_1drk_conf0.mol2,[H]O[C@]1([H])OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],[H]OC1([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H],O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O,OC1COC(O)C(O)C1O,020,CHEMBL14343_0,O[C@@H]1[C@H](O)[C@H](O)CO[C@H]1O,1189
1dzk_1dzk_conf0,1dzk_1dzk_conf0.mol2,[H]c1nc(OC([H])([H])[H])c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])nc1[H],[H]c1nc(OC([H])([H])[H])c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])nc1[H],COc1nccnc1CC(C)C,COc1nccnc1CC(C)C,026,CHEMBL97355_0,COc1nccnc1CC(C)C,32
1e1v_1e1v_conf0,1e1v_1e1v_conf0.mol2,[H]c1nc2c(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc(N([H])[H])nc2n1[H],[H]c1nc2c(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc(N([H])[H])nc2n1[H],Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,035,CHEMBL269881_0,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,199
1e1x_1e1x_conf0,1e1x_1e1x_conf0.mol2,[H]N([H])c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(N=O)c(N([H])[H])n1,[H]N([H])c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(N=O)c(N([H])[H])n1,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,035,CHEMBL303958_0,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,198
1e4h_1e4h_conf0,1e4h_1e4h_conf0.mol2,[H]Oc1c(Br)c(Br)c(Br)c(Br)c1Br,[H]Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,013,CHEMBL1235157_1,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1
1ecv_1ecv_conf0,1ecv_1ecv_conf0.mol2,[H]c1c([H])c(N([H])C(=O)C(=O)[O-])c(C(=O)[O-])c([H])c1I,[H]c1c([H])c(N([H])C(=O)C(=O)[O-])c(C(=O)[O-])c([H])c1I,O=C([O-])C(=O)Nc1ccc(I)cc1C(=O)[O-],O=C([O-])C(=O)Nc1ccc(I)cc1C(=O)[O-],020,CHEMBL336908_0,O=C([O-])C(=O)Nc1ccc(I)cc1C(=O)[O-],2
1efy_1efy_conf0,1efy_1efy_conf0.mol2,[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])c1[H],[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])c1[H],COc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)c1,COc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)c1,033,CHEMBL134022_0,COc1cccc(-c2nc3c(C(N)=O)cccc3[nH]2)c1,91
1enu_1enu_conf0,1enu_1enu_conf0.mol2,[H]c1c(N([H])[H])c([H])c2c(=O)n([H])n([H])c(=O)c2c1[H],[H]c1c(N([H])[H])c([H])c2c(=O)n([H])n([H])c(=O)c2c1[H],Nc1ccc2c(=O)[nH][nH]c(=O)c2c1,Nc1ccc2c(=O)[nH][nH]c(=O)c2c1,020,CHEMBL14882_0,Nc1ccc2c(=O)[nH][nH]c(=O)c2c1,1
1eoc_1eoc_conf0,1eoc_1eoc_conf0.mol2,[H]Oc1c([H])c([H])c([N+](=O)[O-])c([H])c1O[H],[H]Oc1c([H])c([H])c([N+](=O)[O-])c([H])c1O[H],O=[N+]([O-])c1ccc(O)c(O)c1,O=[N+]([O-])c1ccc(O)c(O)c1,016,CHEMBL42423_1,O=[N+]([O-])c1ccc(O)c(O)c1,4
1f57_1f57_conf0,1f57_1f57_conf0.mol2,[H]SC([H])([H])[C@]([H])(C(=O)[O-])[N+]([H])([H])[H],[H]SC([H])([H])C([H])(C(=O)[O-])[N+]([H])([H])[H],[NH3+][C@H](CS)C(=O)[O-],[NH3+]C(CS)C(=O)[O-],014,CHEMBL863_0,[NH3+][C@H](CS)C(=O)[O-],21
1f5k_1f5k_conf0,1f5k_1f5k_conf0.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1,018,CHEMBL20936_0,NC(=[NH2+])c1ccccc1,1
1f5l_1f5l_conf0,1f5l_1f5l_conf0.mol2,[H]N([H])C(N([H])C(=O)c1nc(Cl)c(N([H])[H])nc1N([H])[H])=[N+]([H])[H],[H]N([H])C(N([H])C(=O)c1nc(Cl)c(N([H])[H])nc1N([H])[H])=[N+]([H])[H],NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,024,CHEMBL945_0,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,6
1fcx_1fcx_conf0,1fcx_1fcx_conf0.mol2,[H]O[C@]([H])(c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c2c([H])c(C(=O)[O-])c([H])c([H])c2c1[H],[H]OC([H])(c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c2c([H])c(C(=O)[O-])c([H])c([H])c2c1[H],CC1(C)CCC(C)(C)c2cc([C@@H](O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,CC1(C)CCC(C)(C)c2cc(C(O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,056,CHEMBL80992_0,CC1(C)CCC(C)(C)c2cc([C@@H](O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,139
1fcy_1fcy_conf0,1fcy_1fcy_conf0.mol2,[H]c1c([H])c2c(c([H])c1C(=O)c1c([H])c([H])c3c([H])c(C(=O)[O-])c([H])c([H])c3c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H],[H]c1c([H])c2c(c([H])c1C(=O)c1c([H])c([H])c3c([H])c(C(=O)[O-])c([H])c([H])c3c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H],CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,054,CHEMBL309282_0,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,116
1fcz_1fcz_conf0,1fcz_1fcz_conf0.mol2,[H]/C(C(=O)c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])=C(/[H])c1c([H])c([H])c(C(=O)[O-])c([H])c1[H],[H]C(C(=O)c1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])=C([H])c1c([H])c([H])c(C(=O)[O-])c([H])c1[H],CC1(C)CCC(C)(C)c2cc(C(=O)/C=C/c3ccc(C(=O)[O-])cc3)ccc21,CC1(C)CCC(C)(C)c2cc(C(=O)C=Cc3ccc(C(=O)[O-])cc3)ccc21,052,CHEMBL95700_0,CC1(C)CCC(C)(C)c2cc(C(=O)/C=C/c3ccc(C(=O)[O-])cc3)ccc21,200
1fkh_1fkh_conf0,1fkh_1fkh_conf0.mol2,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]([H])(OC(=O)[C@@]2([H])N(C(=O)C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])(OC(=O)C2([H])N(C(=O)C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccccc1)C1CCCCC1,CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC(CCc1ccccc1)C1CCCCC1,074,CHEMBL110207_0,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccccc1)C1CCCCC1,392
1flr_1flr_conf0,1flr_1flr_conf0.mol2,[H]Oc1c([H])c([H])c2c(-c3c([H])c([H])c([H])c([H])c3C(=O)[O-])c3c([H])c([H])c(=O)c([H])c-3oc2c1[H],[H]Oc1c([H])c([H])c2c(-c3c([H])c([H])c([H])c([H])c3C(=O)[O-])c3c([H])c([H])c(=O)c([H])c-3oc2c1[H],O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,036,CHEMBL5195075_0,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,2
1fv0_1fv0_conf0,1fv0_1fv0_conf0.mol2,[H]Oc1c([H])c([H])c2c(c([H])c([N+](=O)[O-])c3c(C(=O)[O-])c([H])c4c(c32)OC([H])([H])O4)c1OC([H])([H])[H],[H]Oc1c([H])c([H])c2c(c([H])c([N+](=O)[O-])c3c(C(=O)[O-])c([H])c4c(c32)OC([H])([H])O4)c1OC([H])([H])[H],COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3,036,CHEMBL600828_0,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3,4
